file	section	name	length_m	drop_m	gradient_pct	picked
9_Mile_Draw.kml	0	Untitled measurement	4184	327.6	7.8	0
An_Ba_So.kml	0	Approach	456			0
An_Ba_So.kml	1	Descent	560			0
An_Ba_So.kml	2	Exit	1349			0
An_Ba_So.kml	3	Shuttle	6694			0
Angel_Creek.kml	0	Estimated Lower Angel Trail	379	-47.6	-12.5	0
Angel_Creek.kml	1	Estimated Middle Angel Trail	977	-222.1	-22.7	0
Angel_Creek.kml	2	Middle Angel Creek	809	220.5	27.3	1
Angel_Creek.kml	3	Lower Angel Creek	355	79.5	22.4	0
Angel_Creek.kml	4	Exit after 3rd rap	95	-20.1	-21.2	0
Angel_Creek.kml	5	Estimated Return Trail	149	-45.7	-30.6	0
Arachnophobia_Canyon.kml	0	Approach Arachnophobia	1577	-52.3	-3.3	0
Arachnophobia_Canyon.kml	1	Descent Arachnophobi	1819	462.5	25.4	1
Arachnophobia_Canyon.kml	2	Exit Arachnophobia	1614	108.9	6.7	0
Arachnophobia_Canyon.kml	3	Approach From 20 Mule Exit	1466	-10.6	-0.7	0
Arachnophobia_Canyon.kml	4	Alt Ridge Approach	929	63.9	6.9	0
Arachnophobia_Canyon.kml	5	Approach Scorpion	2099	-135.8	-6.5	0
Arachnophobia_Canyon.kml	6	Shuttle	17091	-388.6	-2.3	0
Artist_Canyon.kml	0	Artist approach	455	36.2	7.9	0
Artist_Canyon.kml	1	Artist Shuttle	1877	61.4	3.3	0
Artist_Canyon.kml	2	Artist return	3465	-88.2	-2.5	0
Artist_Canyon.kml	3	Artist descent	324	113.5	35.0	1
Asbestos_Creek.kml	0	Descent	1151	688.6	59.8	1
Atlas_Canyon.kml	0	up ridge - 1.6 mi	2525	-665.5	-26.4	0
Atlas_Canyon.kml	1	Rd - Trail in - 3.2 mi	5064	-23.9	-0.5	0
Atlas_Canyon.kml	2	approach - Exit - 3.1 mi	4947	-262.7	-5.3	0
Atlas_Canyon.kml	3	4-16-16- Atlas Cyn - 1.0 mi	1673	655.3	39.2	1
Axis_Mundi_Canyon.kml	0	Approach	8692	-446.7	-5.1	0
Axis_Mundi_Canyon.kml	1	Descent	659	391.1	59.3	1
Axis_Mundi_Canyon.kml	2	Exit	2418	-204.2	-8.4	0
Axis_Mundi_Canyon.kml	3	Alternate exit	570	70.6	12.4	0
Bailey_Canyon.kml	0	Descent	1194	342.0	28.6	1
Bailey_Canyon.kml	1	Approach	3443	-398.9	-11.6	0
